Ticker	Name	Weight	Shares	Price
SRE UN Equity	Sempra Energy	--	--	153.87
MCO UN Equity	Moody's Corp	--	--	305.6
BKNG UW Equity	Booking Holdings Inc	--	--	2033.54
FFIV UW Equity	F5 Inc	--	--	195.41
AKAM UW Equity	Akamai Technologies Inc	--	--	109.33
CRL UN Equity	Charles River Laboratories International	--	--	267.23
MKTX UW Equity	MarketAxess Holdings Inc	--	--	350.64
DVN UN Equity	Devon Energy Corp	--	--	53.43
GOOGL UW Equity	Alphabet Inc	--	--	2588.7
TECH UW Equity	Bio-Techne Corp	--	--	409.29
TFX UN Equity	Teleflex Inc	--	--	338.74
NFLX UW Equity	Netflix Inc	--	--	338.65
ALLE UN Equity	Allegion plc	--	--	111.76
A UN Equity	Agilent Technologies Inc	--	--	131.12
ANTM UN Equity	Anthem Inc	--	--	465.32
TRMB UW Equity	Trimble Inc	--	--	65.75
CME UW Equity	CME Group Inc	--	--	227.57
JNPR UN Equity	Juniper Networks Inc	--	--	33.56
BLK UN Equity	BlackRock Inc	--	--	705.48
DTE UN Equity	DTE Energy Co	--	--	127.11
NDAQ UW Equity	Nasdaq Inc	--	--	166.37
CE UN Equity	Celanese Corp	--	--	140.41
PM UN Equity	Philip Morris International Inc	--	--	88.47
CRM UN Equity	salesforce.com Inc	--	--	199
IR UN Equity	Ingersoll Rand Inc	--	--	47.89
HII UN Equity	Huntington Ingalls Industries Inc	--	--	203.22
MET UN Equity	MetLife Inc	--	--	65.38
UA UN Equity	Under Armour Inc	--	--	14.37
TPR UN Equity	Tapestry Inc	--	--	34.43
CSX UW Equity	CSX Corp	--	--	34.59
EW UN Equity	Edwards Lifesciences Corp	--	--	104.75
AMP UN Equity	Ameriprise Financial Inc	--	--	278.5
ZBRA UW Equity	Zebra Technologies Corp	--	--	391.63
ZBH UN Equity	Zimmer Biomet Holdings Inc	--	--	120.26
CBRE UN Equity	CBRE Group Inc	--	--	89.26
MA UN Equity	Mastercard Inc	--	--	335.89
KMX UN Equity	CarMax Inc	--	--	100.95
ICE UN Equity	Intercontinental Exchange Inc	--	--	127.24
FIS UN Equity	Fidelity National Information Services I	--	--	90.93
CMG UN Equity	Chipotle Mexican Grill Inc	--	--	1499.73
WYNN UW Equity	Wynn Resorts Ltd	--	--	69.695
LYV UN Equity	Live Nation Entertainment Inc	--	--	109.43
AIZ UN Equity	Assurant Inc	--	--	171.33
NRG UN Equity	NRG Energy Inc	--	--	39.13
RF UN Equity	Regions Financial Corp	--	--	23.09
MNST UW Equity	Monster Beverage Corp	--	--	74.42
MOS UN Equity	Mosaic Co/The	--	--	57.62
BKR UW Equity	Baker Hughes Co	--	--	36.85
EXPE UW Equity	Expedia Group Inc	--	--	183.17
EVRG UN Equity	Evergy Inc	--	--	64.81
DISCA UW Equity	Discovery Inc	--	--	24.645
CF UN Equity	CF Industries Holdings Inc	--	--	94.64
LDOS UN Equity	Leidos Holdings Inc	--	--	102.7
APA UW Equity	APA Corp	--	--	37.37
GOOG UW Equity	Alphabet Inc	--	--	2604.3601
